chr	start_GRCh38	end_GRCh38	GD_ID	svtype	NAHR	terminal	cluster	size	BP1	BP2
chr22	16912063	18109094	GD_22q11.1-q11.21_DUP_chr22_16912063_18109094	DUP	yes	no		1197031		
chr7	95904548	97150174	GD_7q21.3_DEL_chr7_95904548_97150174	DEL	no	no		1245626		
chr7	95904548	97150174	GD_7q21.3_DUP_chr7_95904548_97150174	DUP	no	no		1245626		
chr5	176301976	177620792	GD_5q35.2-q35.3_DEL_chr5_176301976_177620792	DEL	yes	no		1318816		
chr5	176301976	177620792	GD_5q35.2-q35.3_DUP_chr5_176301976_177620792	DUP	yes	no		1318816		
chr17	14194598	15519638	GD_17p12_DEL_chr17_14194598_15519638	DEL	yes	no		1325040		
chr17	14194598	15519638	GD_17p12_DUP_chr17_14194598_15519638	DUP	yes	no		1325040		
chr13	22970443	24307222	GD_13q12.12_DEL_chr13_22970443_24307222	DEL	yes	no		1336779		
chr13	22970443	24307222	GD_13q12.12_DUP_chr13_22970443_24307222	DUP	yes	no		1336779		
chr17	1344539	2685615	GD_17p13.3_DEL_chr17_1344539_2685615	DEL	no	no		1341076		
chr17	1344539	2685615	GD_17p13.3_DUP_chr17_1344539_2685615	DUP	no	no		1341076		
chr17	36458167	37854616	GD_17q12_DEL_chr17_36458167_37854616	DEL	yes	no		1396449		
chr17	36458167	37854616	GD_17q12_DUP_chr17_36458167_37854616	DUP	yes	no		1396449		
chr7	73330452	74728172	GD_7q11.23_DEL_chr7_73330452_74728172	DEL	yes	no		1397720		
chr7	73330452	74728172	GD_7q11.23_DUP_chr7_73330452_74728172	DUP	yes	no		1397720		
chr15	82534140	84045981	GD_15q25.2-BC_DEL_chr15_82534140_84045981	DEL	yes	no		1511841		
chr15	82534140	84045981	GD_15q25.2-BC_DUP_chr15_82534140_84045981	DUP	yes	no		1511841		
chr3	195999964	197617793	GD_3q29_DEL_chr3_195999964_197617793	DEL	yes	no		1617829		
chr3	195999964	197617793	GD_3q29_DUP_chr3_195999964_197617793	DUP	yes	no		1617829		
chrX	6537771	8156913	GD_Xp22.31_DEL_chrX_6537771_8156913	DEL	yes	no		1619142		
chrX	6537771	8156913	GD_Xp22.31_DUP_chrX_6537771_8156913	DUP	yes	no		1619142		
chr2	110634615	112335952	GD_2q13_distal_DEL_chr2_110634615_112335952	DEL	yes	no		1701337		
chr2	110634615	112335952	GD_2q13_distal_DUP_chr2_110634615_112335952	DUP	yes	no		1701337		
chr1	243124428	245154985	GD_1q43-q44_DEL_chr1_243124428_245154985	DEL	no	no		2030557		
chr1	243124428	245154985	GD_1q43-q44_DUP_chr1_243124428_245154985	DUP	no	no		2030557		
chr17	60035641	62198448	GD_17q23.1-q23.2_DEL_chr17_60035641_62198448	DEL	yes	no		2162807		
chr17	60035641	62198448	GD_17q23.1-q23.2_DUP_chr17_60035641_62198448	DUP	yes	no		2162807		
chr11	43873250	46130899	GD_11p11.2_DEL_chr11_43873250_46130899	DEL	no	no		2257649		
chr11	43873250	46130899	GD_11p11.2_DUP_chr11_43873250_46130899	DUP	no	no		2257649		
chr15	82534140	85169770	GD_15q25.2-q25.3-BD_DEL_chr15_82534140_85169770	DEL	yes	no		2635630		
chr15	82534140	85169770	GD_15q25.2-q25.3-BD_DUP_chr15_82534140_85169770	DUP	yes	no		2635630		
chr2	58912065	62261736	GD_2p16.1-p15_DEL_chr2_58912065_62261736	DEL	no	no		3349671		
chr2	58912065	62261736	GD_2p16.1-p15_DUP_chr2_58912065_62261736	DUP	no	no		3349671		
chr17	16906714	20309889	GD_17p11.2_DEL_chr17_16906714_20309889	DEL	yes	no		3403175		
chr17	16906714	20309889	GD_17p11.2_DUP_chr17_16906714_20309889	DUP	yes	no		3403175		
chr11	67996175	71525885	GD_11q13.2-q13.4_DEL_chr11_67996175_71525885	DEL	yes	no		3529710		
chr11	67996175	71525885	GD_11q13.2-q13.4_DUP_chr11_67996175_71525885	DUP	yes	no		3529710		
chr12	64678139	68251745	GD_12q14.2-q15_DEL_chr12_64678139_68251745	DEL	no	no		3573606		
chr12	64678139	68251745	GD_12q14.2-q15_DUP_chr12_64678139_68251745	DUP	no	no		3573606		
chr8	8261773	11908210	GD_8p23.1_DEL_chr8_8261773_11908210	DEL	yes	no		3646437		
chr8	8261773	11908210	GD_8p23.1_DUP_chr8_8261773_11908210	DUP	yes	no		3646437		
chrX	48447780	52444264	GD_Xp11.23-p11.22_DEL_chrX_48447780_52444264	DEL	yes	no		3996484		
chrX	48447780	52444264	GD_Xp11.23-p11.22_DUP_chrX_48447780_52444264	DUP	yes	no		3996484		
chr1	898703	6229913	GD_1p36_DEL_chr1_898703_6229913	DEL	no	p		5331210		
chr1	898703	6229913	GD_1p36_DUP_chr1_898703_6229913	DUP	no	p		5331210		
chr10	79923087	86979631	GD_10q22.3-q23.2_DEL_chr10_79923087_86979631	DEL	yes	no		7056544		
chr10	79923087	86979631	GD_10q22.3-q23.2_DUP_chr10_79923087_86979631	DUP	yes	no		7056544		
chr16	21500741	30188533	GD_16p12.2-p11.2_DEL_chr16_21500741_30188533	DEL	yes	no		8687792		
chr16	21500741	30188533	GD_16p12.2-p11.2_DUP_chr16_21500741_30188533	DUP	yes	no		8687792		
chr5	10001	12533192	GD_5p15.33-15p15.2_DEL_chr5_10001_12533192	DEL	no	p		12523191		
chr5	10001	12533192	GD_5p15.33-15p15.2_DUP_chr5_10001_12533192	DUP	no	p		12523191		
